,transaction_id,user_id,trade_datetime,asset,trade_type,trade_amount,fee_amount,fee_asset
0,tx_000000,user_0000,2024-04-04,BTC,buy,139327.0,55.73,KRW
1,tx_000001,user_0000,2022-12-01,SOL,sell,10000.0,4.0,KRW
2,tx_000002,user_0000,2022-08-09,XRP,sell,46106.41,18.44,KRW
3,tx_000003,user_0000,2023-11-25,ETH,sell,65564.12,26.23,KRW
4,tx_000004,user_0000,2022-02-09,XRP,buy,69762.77,27.91,KRW
5,tx_000005,user_0000,2024-04-22,ETH,buy,10000.0,4.0,KRW
6,tx_000006,user_0000,2023-09-11,SOL,buy,155505.88,62.2,KRW
7,tx_000007,user_0000,2022-09-13,BTC,buy,79769.79,31.91,KRW
8,tx_000008,user_0000,2022-12-14,XRP,sell,105196.94,42.08,KRW
9,tx_000009,user_0000,2022-07-20,ETH,sell,71047.37,28.42,KRW
10,tx_000010,user_0000,2024-05-18,SOL,buy,166918.19,66.77,KRW
11,tx_000011,user_0000,2023-05-15,BTC,buy,43517.49,17.41,KRW
12,tx_000012,user_0000,2023-04-30,XRP,sell,59950.96,23.98,KRW
13,tx_000013,user_0000,2022-04-02,BTC,buy,175321.09,70.13,KRW
14,tx_000014,user_0000,2022-08-08,ETH,buy,75581.01,30.23,KRW
15,tx_000015,user_0000,2024-02-28,SOL,sell,65526.11,26.21,KRW
16,tx_000016,user_0000,2024-03-14,ETH,buy,179458.22,71.78,KRW
17,tx_000017,user_0000,2024-04-23,ETH,buy,112812.89,45.13,KRW
18,tx_000018,user_0000,2022-09-26,XRP,sell,168469.38,67.39,KRW
19,tx_000019,user_0000,2024-04-04,SOL,buy,11971.07,4.79,KRW
20,tx_000020,user_0000,2023-01-21,ETH,sell,100780.92,40.31,KRW
21,tx_000021,user_0000,2022-07-26,SOL,buy,145113.86,58.05,KRW
22,tx_000022,user_0000,2023-12-31,ETH,sell,157794.25,63.12,KRW
23,tx_000023,user_0000,2023-10-20,ETH,sell,78953.06,31.58,KRW
24,tx_000024,user_0000,2023-01-04,SOL,sell,45403.3,18.16,KRW
25,tx_000025,user_0000,2023-11-09,XRP,sell,144512.38,57.8,KRW
26,tx_000026,user_0001,2023-09-14,BTC,buy,5422210.84,2168.88,KRW
27,tx_000027,user_0001,2023-03-13,XRP,buy,11853624.4,4741.45,KRW
28,tx_000028,user_0001,2023-01-23,SOL,buy,12217917.52,4887.17,KRW
29,tx_000029,user_0002,2023-01-01,XRP,sell,1244901.75,497.96,KRW
30,tx_000030,user_0002,2024-01-14,XRP,buy,1569021.45,627.61,KRW
31,tx_000031,user_0002,2022-09-15,SOL,buy,783065.31,313.23,KRW
32,tx_000032,user_0002,2022-07-01,BTC,sell,1180739.83,472.3,KRW
33,tx_000033,user_0002,2023-03-27,BTC,buy,1312555.64,525.02,KRW
34,tx_000034,user_0002,2023-11-06,XRP,buy,677061.08,270.82,KRW
35,tx_000035,user_0002,2024-03-13,SOL,buy,652073.67,260.83,KRW
36,tx_000036,user_0002,2023-11-30,BTC,buy,942754.78,377.1,KRW
37,tx_000037,user_0002,2023-05-23,SOL,buy,988936.13,395.57,KRW
38,tx_000038,user_0002,2024-03-13,ETH,sell,690479.63,276.19,KRW
39,tx_000039,user_0003,2023-03-18,XRP,buy,155668.03,62.27,KRW
40,tx_000040,user_0003,2022-07-27,BTC,buy,17381.65,6.95,KRW
41,tx_000041,user_0003,2022-03-09,BTC,buy,26248.14,10.5,KRW
42,tx_000042,user_0003,2023-01-18,XRP,buy,58052.94,23.22,KRW
43,tx_000043,user_0003,2023-10-27,SOL,sell,120433.26,48.17,KRW
44,tx_000044,user_0003,2022-07-30,XRP,sell,25653.2,10.26,KRW
45,tx_000045,user_0003,2023-06-24,BTC,buy,30074.02,12.03,KRW
46,tx_000046,user_0003,2022-11-11,BTC,buy,84948.19,33.98,KRW
47,tx_000047,user_0003,2024-01-28,BTC,sell,10000.0,4.0,KRW
48,tx_000048,user_0003,2023-04-13,ETH,buy,132724.62,53.09,KRW
49,tx_000049,user_0004,2023-11-25,ETH,sell,100291.68,40.12,KRW
50,tx_000050,user_0004,2023-04-16,XRP,buy,74030.35,29.61,KRW
51,tx_000051,user_0004,2023-07-25,XRP,buy,107672.05,43.07,KRW
52,tx_000052,user_0004,2022-07-01,ETH,sell,120205.08,48.08,KRW
53,tx_000053,user_0004,2022-09-17,BTC,buy,48901.29,19.56,KRW
54,tx_000054,user_0004,2023-09-08,SOL,sell,199353.06,79.74,KRW
55,tx_000055,user_0004,2022-04-03,ETH,sell,73451.46,29.38,KRW
56,tx_000056,user_0004,2023-03-10,SOL,sell,126153.95,50.46,KRW
57,tx_000057,user_0004,2022-02-12,XRP,sell,166543.36,66.62,KRW
58,tx_000058,user_0004,2022-10-23,ETH,sell,102175.73,40.87,KRW
59,tx_000059,user_0004,2022-07-03,ETH,sell,127906.98,51.16,KRW
60,tx_000060,user_0004,2022-01-13,BTC,sell,17263.59,6.91,KRW
61,tx_000061,user_0004,2024-03-14,ETH,sell,126939.91,50.78,KRW
62,tx_000062,user_0004,2023-08-10,SOL,sell,76709.72,30.68,KRW
63,tx_000063,user_0004,2022-01-08,BTC,sell,92458.11,36.98,KRW
64,tx_000064,user_0004,2023-12-22,SOL,sell,43469.23,17.39,KRW
65,tx_000065,user_0004,2022-02-14,XRP,buy,131135.56,52.45,KRW
66,tx_000066,user_0004,2022-06-04,BTC,buy,144767.77,57.91,KRW
67,tx_000067,user_0004,2022-06-28,SOL,buy,68421.11,27.37,KRW
68,tx_000068,user_0005,2023-09-23,BTC,sell,82296.92,32.92,KRW
69,tx_000069,user_0005,2022-11-05,XRP,sell,56806.77,22.72,KRW
70,tx_000070,user_0005,2024-02-24,SOL,sell,66685.79,26.67,KRW
71,tx_000071,user_0005,2022-12-30,ETH,sell,91115.3,36.45,KRW
72,tx_000072,user_0005,2024-02-02,SOL,sell,75442.31,30.18,KRW
73,tx_000073,user_0005,2023-07-18,XRP,buy,85756.23,34.3,KRW
74,tx_000074,user_0005,2022-03-25,XRP,buy,14889.34,5.96,KRW
75,tx_000075,user_0005,2022-12-26,XRP,sell,76859.22,30.74,KRW
76,tx_000076,user_0005,2022-07-11,SOL,buy,75639.85,30.26,KRW
77,tx_000077,user_0005,2022-02-08,SOL,buy,82403.93,32.96,KRW
78,tx_000078,user_0005,2023-02-24,BTC,buy,81029.78,32.41,KRW
79,tx_000079,user_0005,2022-06-15,XRP,sell,116603.26,46.64,KRW
80,tx_000080,user_0005,2023-01-11,XRP,sell,10000.0,4.0,KRW
81,tx_000081,user_0005,2022-10-29,SOL,sell,92494.79,37.0,KRW
82,tx_000082,user_0005,2023-03-29,SOL,sell,64722.3,25.89,KRW
83,tx_000083,user_0005,2022-12-21,SOL,sell,150400.1,60.16,KRW
84,tx_000084,user_0005,2024-04-07,ETH,buy,95970.01,38.39,KRW
85,tx_000085,user_0005,2023-05-05,BTC,buy,58347.2,23.34,KRW
86,tx_000086,user_0005,2022-04-16,BTC,sell,42717.07,17.09,KRW
87,tx_000087,user_0005,2022-03-30,SOL,sell,74775.18,29.91,KRW
88,tx_000088,user_0005,2023-01-06,SOL,sell,46046.22,18.42,KRW
89,tx_000089,user_0006,2023-06-09,BTC,sell,129456.97,51.78,KRW
90,tx_000090,user_0006,2023-01-28,SOL,sell,100827.47,40.33,KRW
91,tx_000091,user_0006,2024-04-24,SOL,buy,82397.22,32.96,KRW
92,tx_000092,user_0006,2023-03-23,SOL,sell,154536.18,61.81,KRW
93,tx_000093,user_0006,2024-01-31,XRP,sell,164525.77,65.81,KRW
94,tx_000094,user_0006,2022-01-18,SOL,buy,64305.45,25.72,KRW
95,tx_000095,user_0007,2023-03-27,SOL,buy,1507053.29,602.82,KRW
96,tx_000096,user_0007,2022-08-25,ETH,sell,1064035.91,425.61,KRW
97,tx_000097,user_0007,2023-02-26,SOL,buy,1248612.83,499.45,KRW
98,tx_000098,user_0007,2022-03-13,ETH,buy,792104.74,316.84,KRW
99,tx_000099,user_0007,2023-01-22,SOL,buy,1240224.41,496.09,KRW
100,tx_000100,user_0007,2022-03-17,BTC,buy,1120468.18,448.19,KRW
101,tx_000101,user_0007,2023-12-03,SOL,buy,1140494.68,456.2,KRW
102,tx_000102,user_0007,2022-05-07,BTC,buy,1122582.19,449.03,KRW
103,tx_000103,user_0007,2023-05-02,XRP,sell,907657.46,363.06,KRW
104,tx_000104,user_0007,2023-01-23,BTC,buy,1088855.44,435.54,KRW
105,tx_000105,user_0007,2022-10-03,SOL,buy,1112565.09,445.03,KRW
106,tx_000106,user_0007,2022-12-03,ETH,sell,373891.89,149.56,KRW
107,tx_000107,user_0007,2022-09-30,SOL,sell,824614.68,329.85,KRW
108,tx_000108,user_0007,2022-11-24,ETH,buy,803141.21,321.26,KRW
109,tx_000109,user_0007,2023-11-30,BTC,buy,780132.13,312.05,KRW
110,tx_000110,user_0008,2022-08-26,ETH,sell,820190.05,328.08,KRW
111,tx_000111,user_0008,2023-04-12,SOL,buy,666998.93,266.8,KRW
112,tx_000112,user_0008,2022-07-20,SOL,sell,870129.75,348.05,KRW
113,tx_000113,user_0008,2023-01-19,SOL,sell,1094334.68,437.73,KRW
114,tx_000114,user_0008,2023-02-21,BTC,sell,1194768.64,477.91,KRW
115,tx_000115,user_0008,2023-12-21,BTC,sell,1227218.04,490.89,KRW
116,tx_000116,user_0008,2024-02-22,SOL,buy,1039357.03,415.74,KRW
117,tx_000117,user_0008,2022-03-13,XRP,sell,1025928.56,410.37,KRW
118,tx_000118,user_0009,2023-12-26,BTC,sell,947330.82,378.93,KRW
119,tx_000119,user_0009,2023-09-06,BTC,buy,1200596.44,480.24,KRW
120,tx_000120,user_0009,2022-07-11,XRP,sell,925974.8,370.39,KRW
121,tx_000121,user_0009,2023-01-06,XRP,sell,859429.32,343.77,KRW
122,tx_000122,user_0009,2024-03-27,BTC,buy,1362535.15,545.01,KRW
123,tx_000123,user_0009,2022-01-06,XRP,sell,1510848.1,604.34,KRW
124,tx_000124,user_0009,2022-01-28,ETH,sell,733227.75,293.29,KRW
125,tx_000125,user_0010,2023-05-09,XRP,sell,147765.03,59.11,KRW
126,tx_000126,user_0010,2022-09-09,XRP,sell,94570.35,37.83,KRW
127,tx_000127,user_0010,2022-07-29,SOL,sell,60032.58,24.01,KRW
128,tx_000128,user_0010,2023-09-01,XRP,sell,76578.31,30.63,KRW
129,tx_000129,user_0010,2023-05-07,XRP,buy,42265.26,16.91,KRW
130,tx_000130,user_0010,2023-01-02,SOL,sell,45229.95,18.09,KRW
131,tx_000131,user_0010,2023-10-16,BTC,buy,114919.59,45.97,KRW
132,tx_000132,user_0010,2023-05-26,ETH,buy,90655.19,36.26,KRW
133,tx_000133,user_0010,2022-03-14,ETH,sell,18476.34,7.39,KRW
134,tx_000134,user_0010,2022-12-26,ETH,buy,52554.17,21.02,KRW
135,tx_000135,user_0010,2022-06-11,XRP,buy,187368.16,74.95,KRW
136,tx_000136,user_0010,2023-03-10,SOL,sell,86492.0,34.6,KRW
137,tx_000137,user_0010,2022-07-02,SOL,buy,129696.34,51.88,KRW
138,tx_000138,user_0010,2022-09-03,BTC,sell,73551.11,29.42,KRW
139,tx_000139,user_0010,2024-05-01,BTC,sell,47172.12,18.87,KRW
140,tx_000140,user_0010,2023-12-27,BTC,sell,48490.3,19.4,KRW
141,tx_000141,user_0010,2024-02-04,XRP,sell,98092.97,39.24,KRW
142,tx_000142,user_0011,2022-03-11,BTC,buy,13791120.03,5516.45,KRW
143,tx_000143,user_0011,2022-04-01,ETH,buy,7461052.07,2984.42,KRW
144,tx_000144,user_0011,2024-01-09,ETH,sell,12197476.31,4878.99,KRW
145,tx_000145,user_0012,2022-08-25,BTC,buy,1086617.1,434.65,KRW
146,tx_000146,user_0012,2023-07-03,SOL,buy,1044673.02,417.87,KRW
147,tx_000147,user_0012,2023-03-25,SOL,sell,796167.72,318.47,KRW
148,tx_000148,user_0012,2024-03-29,ETH,buy,714424.46,285.77,KRW
149,tx_000149,user_0012,2023-08-25,BTC,buy,1023244.16,409.3,KRW
150,tx_000150,user_0013,2023-03-14,SOL,sell,65106.31,26.04,KRW
151,tx_000151,user_0013,2023-11-05,XRP,buy,137863.35,55.15,KRW
152,tx_000152,user_0013,2023-07-18,BTC,sell,24756.2,9.9,KRW
153,tx_000153,user_0013,2023-09-05,XRP,buy,106299.2,42.52,KRW
154,tx_000154,user_0013,2024-04-12,BTC,buy,132225.31,52.89,KRW
155,tx_000155,user_0013,2022-12-01,BTC,sell,115293.6,46.12,KRW
156,tx_000156,user_0013,2023-11-09,XRP,buy,75580.41,30.23,KRW
157,tx_000157,user_0013,2024-02-24,BTC,sell,121005.9,48.4,KRW
158,tx_000158,user_0013,2023-08-25,BTC,buy,77970.18,31.19,KRW
159,tx_000159,user_0013,2023-03-05,ETH,buy,152030.93,60.81,KRW
160,tx_000160,user_0013,2023-01-01,ETH,buy,111470.16,44.59,KRW
161,tx_000161,user_0013,2023-05-24,XRP,buy,45943.14,18.38,KRW
162,tx_000162,user_0013,2024-01-23,XRP,buy,73334.76,29.33,KRW
163,tx_000163,user_0013,2023-02-11,BTC,sell,111284.91,44.51,KRW
164,tx_000164,user_0013,2022-01-26,XRP,buy,45322.14,18.13,KRW
165,tx_000165,user_0013,2023-07-25,SOL,sell,58876.45,23.55,KRW
166,tx_000166,user_0013,2022-05-26,SOL,buy,63979.26,25.59,KRW
167,tx_000167,user_0013,2023-02-03,XRP,buy,61885.87,24.75,KRW
168,tx_000168,user_0014,2022-12-03,XRP,buy,136862.63,54.75,KRW
169,tx_000169,user_0014,2022-05-02,SOL,sell,45419.44,18.17,KRW
170,tx_000170,user_0014,2024-05-21,SOL,buy,145624.17,58.25,KRW
171,tx_000171,user_0014,2022-02-19,BTC,buy,92935.35,37.17,KRW
172,tx_000172,user_0014,2024-03-10,SOL,buy,216664.47,86.67,KRW
173,tx_000173,user_0014,2024-05-29,XRP,buy,197761.5,79.1,KRW
174,tx_000174,user_0014,2024-04-15,SOL,buy,78087.04,31.23,KRW
175,tx_000175,user_0014,2024-05-13,BTC,sell,73092.05,29.24,KRW
176,tx_000176,user_0014,2022-10-14,XRP,sell,56153.48,22.46,KRW
177,tx_000177,user_0014,2024-02-15,XRP,sell,44260.8,17.7,KRW
178,tx_000178,user_0014,2024-05-25,XRP,buy,168520.48,67.41,KRW
179,tx_000179,user_0014,2024-03-08,ETH,sell,171472.89,68.59,KRW
180,tx_000180,user_0014,2023-10-20,ETH,buy,75565.62,30.23,KRW
181,tx_000181,user_0014,2023-09-02,XRP,sell,167456.32,66.98,KRW
182,tx_000182,user_0014,2022-06-22,XRP,buy,80162.75,32.07,KRW
183,tx_000183,user_0014,2022-04-03,XRP,sell,86711.22,34.68,KRW
184,tx_000184,user_0014,2022-10-15,ETH,sell,115280.72,46.11,KRW
185,tx_000185,user_0014,2023-04-02,BTC,sell,19366.91,7.75,KRW
